data_source,nid,file_path,Country,type_of_additional,Group,Site,Year,Prev,N
report,138342,J:\DATA\CMR\NATIONAL_HIV_SEROSURVEY\2000\CMR_NATIONAL_HIV_SYPHILIS_SEROSURVEY_2000_REP_Y2017M12D21.PDF,CMR,3,Rural,Abong Mbang,2000,12,100
report,138342,J:\DATA\CMR\NATIONAL_HIV_SEROSURVEY\2000\CMR_NATIONAL_HIV_SYPHILIS_SEROSURVEY_2000_REP_Y2017M12D21.PDF,CMR,3,Rural,Batouri,2000,9.6,73
report,138342,J:\DATA\CMR\NATIONAL_HIV_SEROSURVEY\2000\CMR_NATIONAL_HIV_SYPHILIS_SEROSURVEY_2000_REP_Y2017M12D21.PDF,CMR,3,Urbain,Bertoua,2000,9,166
report,138348,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2005\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2005_REP_Y2012M10D02.PDF,NGA,2,Remaining Pop,Anambra (Awka),2005,5,300
report,138348,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2005\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2005_REP_Y2012M10D02.PDF,NGA,2,Remaining Pop,Anambra (Ekwulobia),2005,3.7,300
report,138348,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2005\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2005_REP_Y2012M10D02.PDF,NGA,2,Remaining Pop,Anambra (Onitsha),2005,4,300
report,138348,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2005\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2005_REP_Y2012M10D02.PDF,NGA,2,Remaining Pop,Imo (Orlu/Amaifeke),2005,4,300
report,138348,J:\DATA\NGA\NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY\2005\NGA_NATIONAL_HIV_SEROPREVALENCE_SENTINEL_SURVEY_2005_REP_Y2012M10D02.PDF,NGA,2,Remaining Pop,Yobe(Potiskum),2005,3.3,299
report,138563,J:\DATA\Incoming Data\HIV Surveillance Reports (UNAIDS)\HIV Surveillance Reports (from UNAIDS)\HIV Surveillance Reports (from UNAIDS)\SubSahAf\Somalia2ndGenSurveilRpt2004.pdf,SOM,5,Puntland,Bosaso Central MCH,2004,1,324
report,138563,J:\DATA\Incoming Data\HIV Surveillance Reports (UNAIDS)\HIV Surveillance Reports (from UNAIDS)\HIV Surveillance Reports (from UNAIDS)\SubSahAf\Somalia2ndGenSurveilRpt2004.pdf,SOM,5,Puntland,Galkayo central MCH,2004,1.3,289
report,143203,J:\DATA\ERI\HIV_SENTINEL_SURVEILLANCE_SURVEY\2007\ERI_HIV_SENTINEL_SURVEILLANCE_SURVEY_2007_REP_Y2017M12D21.PDF,ERI,2,Urban,Akordet,2007,0,251
report,143203,J:\DATA\ERI\HIV_SENTINEL_SURVEILLANCE_SURVEY\2007\ERI_HIV_SENTINEL_SURVEILLANCE_SURVEY_2007_REP_Y2017M12D21.PDF,ERI,4,Urban,Akria,2007,2.56,312
report,143203,J:\DATA\ERI\HIV_SENTINEL_SURVEILLANCE_SURVEY\2007\ERI_HIV_SENTINEL_SURVEILLANCE_SURVEY_2007_REP_Y2017M12D21.PDF,ERI,35,Urban,Asseb,2007,1.25,80
report,143203,J:\DATA\ERI\HIV_SENTINEL_SURVEILLANCE_SURVEY\2007\ERI_HIV_SENTINEL_SURVEILLANCE_SURVEY_2007_REP_Y2017M12D21.PDF,ERI,4,Urban,Edaga hamus,2007,2.33,600
report,143203,J:\DATA\ERI\HIV_SENTINEL_SURVEILLANCE_SURVEY\2007\ERI_HIV_SENTINEL_SURVEILLANCE_SURVEY_2007_REP_Y2017M12D21.PDF,ERI,2,Rural,Haycota,2003,0.9,453
report,143203,J:\DATA\ERI\HIV_SENTINEL_SURVEILLANCE_SURVEY\2007\ERI_HIV_SENTINEL_SURVEILLANCE_SURVEY_2007_REP_Y2017M12D21.PDF,ERI,2,Rural,Haycota,2005,1.3,385
report,143203,J:\DATA\ERI\HIV_SENTINEL_SURVEILLANCE_SURVEY\2007\ERI_HIV_SENTINEL_SURVEILLANCE_SURVEY_2007_REP_Y2017M12D21.PDF,ERI,2,Rural,Haycota,2007,1.6,386
report,143203,J:\DATA\ERI\HIV_SENTINEL_SURVEILLANCE_SURVEY\2007\ERI_HIV_SENTINEL_SURVEILLANCE_SURVEY_2007_REP_Y2017M12D21.PDF,ERI,1,,Joko Com Hosp,2007,3.68,136
report,143203,J:\DATA\ERI\HIV_SENTINEL_SURVEILLANCE_SURVEY\2007\ERI_HIV_SENTINEL_SURVEILLANCE_SURVEY_2007_REP_Y2017M12D21.PDF,ERI,35,Urban,Massawa,2007,2.42,248
report,143203,J:\DATA\ERI\HIV_SENTINEL_SURVEILLANCE_SURVEY\2007\ERI_HIV_SENTINEL_SURVEILLANCE_SURVEY_2007_REP_Y2017M12D21.PDF,ERI,35,Urban,Mendefera,2007,0.36,274
report,143203,J:\DATA\ERI\HIV_SENTINEL_SURVEILLANCE_SURVEY\2007\ERI_HIV_SENTINEL_SURVEILLANCE_SURVEY_2007_REP_Y2017M12D21.PDF,ERI,35,Urban,Tesseney,2005,1.5,337
report,143203,J:\DATA\ERI\HIV_SENTINEL_SURVEILLANCE_SURVEY\2007\ERI_HIV_SENTINEL_SURVEILLANCE_SURVEY_2007_REP_Y2017M12D21.PDF,ERI,5,Urban,Tesseney,2007,2.37,337
report,143235,J:\DATA\ETH\AIDS_IN_ETHIOPIA_REPORT\ETH_AIDS_IN_ETHIOPIA_2005_Y2014M04D25.PDF,ETH,1,,Adama HC,2005,9,400
report,143235,J:\DATA\ETH\AIDS_IN_ETHIOPIA_REPORT\ETH_AIDS_IN_ETHIOPIA_2005_Y2014M04D25.PDF,ETH,2,Rural,Agam HC,2005,1,400
report,143235,J:\DATA\ETH\AIDS_IN_ETHIOPIA_REPORT\ETH_AIDS_IN_ETHIOPIA_2005_Y2014M04D25.PDF,ETH,2,Rural,Amaya Clinic,2005,3,400
report,143235,J:\DATA\ETH\AIDS_IN_ETHIOPIA_REPORT\ETH_AIDS_IN_ETHIOPIA_2005_Y2014M04D25.PDF,ETH,2,Rural,Attat Hospital,2005,3.5,500
report,143235,J:\DATA\ETH\AIDS_IN_ETHIOPIA_REPORT\ETH_AIDS_IN_ETHIOPIA_2005_Y2014M04D25.PDF,ETH,1,,Ayra Hosp,2005,1.5,400
report,143235,J:\DATA\ETH\AIDS_IN_ETHIOPIA_REPORT\ETH_AIDS_IN_ETHIOPIA_2005_Y2014M04D25.PDF,ETH,2,Rural,Bechi HC,2005,1.2,400
report,143235,J:\DATA\ETH\AIDS_IN_ETHIOPIA_REPORT\ETH_AIDS_IN_ETHIOPIA_2005_Y2014M04D25.PDF,ETH,2,TOTAL,Biyowale HC,2005,1,400
report,143235,J:\DATA\ETH\AIDS_IN_ETHIOPIA_REPORT\ETH_AIDS_IN_ETHIOPIA_2005_Y2014M04D25.PDF,ETH,2,Rural,Chencha Hospital,2005,1.5,400
