"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Akobo PHCC",2007,TRUE,110,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Boma Hospital",2007,TRUE,429,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Cueibet PHCC",2007,TRUE,107,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Kajo Keji Hospital",2007,TRUE,1045,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Leer",2007,TRUE,874,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Maridi",2007,TRUE,244,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Nimule Hospital",2007,TRUE,492,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Pocholla PHCC",2007,TRUE,18,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"St. Bakita-Yei",2007,TRUE,792,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Tambura PHCC",2007,TRUE,599,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Akobo PHCC",2009,TRUE,169,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Aweil Hospital",2009,TRUE,299,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Bam PHCC",2009,TRUE,169,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Bentiu Hospital",2009,TRUE,296,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Boma Hospital",2009,TRUE,159,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Bor Civil Hospital",2009,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Cueibet PHCC",2009,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Juba Teaching Hospital",2009,TRUE,299,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Kajo Keji Hospital",2009,TRUE,264,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Kwajok Hospital",2009,TRUE,289,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Leer",2009,TRUE,135,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Malakal Teaching Hospital",2009,TRUE,265,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Malakia PHCC",2009,TRUE,140,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Maridi",2009,TRUE,250,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Nimule Hospital",2009,TRUE,249,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Nyakuron PHCC",2009,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Renk Civil Hospital",2009,TRUE,216,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Rumbek PHCC",2009,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Rumbek State Hospital",2009,TRUE,283,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"St. Bakita-Yei",2009,TRUE,255,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Tambura PHCC",2009,TRUE,250,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Torit Civil Hospital",2009,TRUE,298,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Wau Teaching Hospital",2009,TRUE,299,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Yambio Hospital",2009,TRUE,129,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Akobo PHCC",2012,TRUE,320,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Aweil Hospital",2012,TRUE,320,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Bam PHCC",2012,TRUE,320,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Bentiu Hospital",2012,TRUE,320,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Bor Civil Hospital",2012,TRUE,320,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Cueibet PHCC",2012,TRUE,320,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Ezo",2012,TRUE,319,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
"Gokmachar PHCC",2012,TRUE,320,"ancss","15-49","15","35",0,0,0,0,"SSD",0,0,"SSD",NA,NA,NA,NA,NA
