"clinic","year_id","used","mean","n","type","agegr","age","agspan","ihme_loc_id","lbd_areal","lbd_missing","iso3","site_pred","adm0_mean","adm0_lower","adm0_upper","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Hhohho",1994,TRUE,0.155,773,"ancss","15-49","15","35","SWZ",0,0,"SWZ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hhohho",1996,TRUE,0.263,707,"ancss","15-49","15","35","SWZ",0,0,"SWZ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hhohho",1998,TRUE,0.303,472,"ancss","15-49","15","35","SWZ",0,0,"SWZ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lubombo",1994,TRUE,0.167,729,"ancss","15-49","15","35","SWZ",0,0,"SWZ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lubombo",1996,TRUE,0.265,961,"ancss","15-49","15","35","SWZ",0,0,"SWZ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lubombo",1998,TRUE,0.315,447,"ancss","15-49","15","35","SWZ",0,0,"SWZ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manzini",1998,TRUE,0.348,405,"ancss","15-49","15","35","SWZ",0,0,"SWZ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manzini",1996,TRUE,0.277,394,"ancss","15-49","15","35","SWZ",0,0,"SWZ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manzini",1994,TRUE,0.1558,430,"ancss","15-49","15","35","SWZ",0,0,"SWZ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shiselweni",1998,TRUE,0.296,335,"ancss","15-49","15","35","SWZ",0,0,"SWZ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shiselweni",1994,TRUE,0.168,411,"ancss","15-49","15","35","SWZ",0,0,"SWZ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shiselweni",1996,TRUE,0.239,423,"ancss","15-49","15","35","SWZ",0,0,"SWZ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hhohho",2000,TRUE,0.323,629,"ancss","15-49","15","35","SWZ",0,0,"SWZ",0.220664306562577,0.231237112339621,0.213486747436709,0.24904277014311,NA,NA,NA,NA,NA
